,cr1-cr-other,uid,"q1-i10::
fashion","q1-i11::
sports","q1-i12::
arts","q1-i1::
finance","q1-i2::
politics","q1-i3::
health","q1-i4::
travel","q1-i5::
entertainment","q1-i6::
music","q1-i7::
economics","q1-i8::
social issues","q1-i9::
gaming","q1-other::
other interest","q2-i1::
front end engineer","q2-i2::
back end engineer","q2-i3::
data scientist","q2-i4::
designer","q2-i5::
ios","q2-i6::
andriod","q2-other::
other role","q3-i10::
game dev","q3-i1::
web app dev","q3-i2::
mobile app dev","q3-i3::
data mining","q3-i4::
machine intel","q3-i5::
computer networks","q3-i6::
algorithm design","q3-i7::
vr/ar","q3-i8::
hardware","q3-i9::
IoT","q3-other::
other experience","q4-i10::
scala","q4-i1::
html","q4-i2::
js","q4-i3::
java","q4-i4::
c++","q4-i5::
python","q4-i6::
ruby","q4-i7::
c#","q4-i8::
sql","q4-i9::
swift","q4-other::
other languages","q5-i1::
communication skills","q5-i2::
design skills","q5-i3::
presentation skills","q5-i4::
project management skills","q6-i1::
have fun","q6-i2::
learn tech","q6-i3::
win","q6-i4::
socialize","q7-i1::
great code","q7-i2::
great concept","q7-i3::
great design","q7-i4::
great presentation","team join::
if want to join a team","team::
if have team","teammates::
if looking for teammate","ft1-ft-other::
# of people wanted","ft2-ft-other::
name of team","ft3-ft-other::
team project focus","ft4-ft-other::
team project technology","ft5-i1::
front end wanted","ft5-i2::
back end wanted","ft5-i4::
designer wanted","ft5-i5::
ios person wanted","ft5-i6::
other roles wanted","ft5-i7::
web dev wanted","ft6-ft-other::
team project experience","ft7-ft-other::
team emails",,,,,,,,,,,,
0,,59cde708ca869411de5a75c4,,,,,,,,,,,,,,,,,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,3,3,3,4,4,4,5,5,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,59ce5da5ca869411de5a75cd,Fashion,Sports,,Finance,,,Travel,Entertainment,Music,,,Gaming,,,,,Designer,,,,,,,,,,,,,,,,Some experience,Some experience,,,Some experience,Some experience,,,,,5,3,4,4,5,5,3,5,4,5,5,5,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
2,,59cecbe7ca869411de5a75de,,,,,,,,,Music,,,,,,,,,,,,,,,,,,No experience,,,,,,Some experience,,Completed one project/course,,Completed one project/course,,,,,,,,,,2,3,,,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,,,
3,,59cee716ca869411de5a75e2,,,Arts,Finance,,,Travel,,Music,,,Gaming,,,Back-end Engineer,,,,,,,Some experience,,,,Some experience,Completed one project/course,,Some experience,,,,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Some experience,Completed one project/course,,,Some experience,,,3,3,2,2,5,5,,5,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,59cef8aaca869411de5a75ea,,Sports,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Some experience,Some experience,,,,,,3,,3,2,4,4,2,3,3,4,4,2,,false,,,,,,,,,,,,,,,,,,,,,,,,,
5,,59cefa09ca869411de5a75f3,,,,Finance,,,,,Music,,,Gaming,,Front-end Engineer,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,,,,5,3,4,4,3,4,2,3,4,4,3,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
6,,59cefd67ca869411de5a75fe,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,,,,,,,,,Some experience,,Some experience,,,,,,,,3,2,4,3,3,5,4,5,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,59cefdf0ca869411de5a7602,,,Arts,,,Health,Travel,Entertainment,Music,,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed one project/course,,,,,Some experience,,,,,,Completed multiple projects/courses,Completed one project/course,Some experience,No experience,Completed one project/course,,,,,,3,2,2,2,5,5,5,5,4,5,4,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
8,,59cf055dca869411de5a7616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,,,,,3,3,3,4,4,4,2,4,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,59cf05a0ca869411de5a7617,,,,,Politics,,Travel,,,,Social Issues,Gaming,,,,,,,,I have no idea. I'm not good at any particular thing. Speaker/Presenter maybe? Or I'll just be there for moral support.,,,,,,,,Some experience,,,,,,Some experience,,,Some experience,,,,,,2,3,3,4,4,2,,2,,5,4,3,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
10,,59cf07c3ca869411de5a761d,,,,Finance,Politics,Health,,,,Economics,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed multiple projects/courses,,,,,,,,,,,Some experience,Some experience,,,Some experience,Completed multiple projects/courses,,Some experience,,,4,1,3,3,3,4,2,5,3,4,2,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
11,,59cf0915ca869411de5a7620,,,,,,,,,,,,,,,,Data Scientist,Designer,,,Business,,,,Completed one project/course,,,,,,Completed one project/course,,,,,,,,,,,,,4,4,5,5,5,4,3,5,,4,4,4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,
12,,59cf0c54ca869411de5a7626,Fashion,,Arts,,,,,Entertainment,Music,,,Gaming,,,Back-end Engineer,Data Scientist,Designer,,,,Some experience,Some experience,,Some experience,,Some experience,Completed one project/course,,,,,,,,Completed multiple projects/courses,Completed one project/course,,,Completed one project/course,,,,4,4,3,3,4,5,3,4,,,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,
