,cr1-cr-other,cr2-cr-other,cr3-cr-other,cr3-i2,cr3-i3,cr4-cr-other,cr5-cr-other,cr5-i1,cr5-i5,cr5-i9,cr6-i1,"ft1-ft-other::
# of people wanted","ft2-ft-other::
name of team","ft3-ft-other::
team project focus","ft4-ft-other::
team project technology","ft5-i1::
front end wanted","ft5-i2::
back end wanted","ft5-i3::
data scientist wanted","ft5-i4::
designer wanted","ft5-i5::
ios person wanted","ft5-i6::
other roles wanted","ft5-i7::
web dev wanted","ft6-ft-other::
team project experience","ft7-ft-other::
team emails","q1-i10::
fashion","q1-i11::
sports","q1-i12::
arts","q1-i1::
finance","q1-i2::
politics","q1-i3::
health","q1-i4::
travel","q1-i5::
entertainment","q1-i6::
music","q1-i7::
economics","q1-i8::
social issues","q1-i9::
gaming","q1-other::
other interest","q2-i1::
front end engineer","q2-i2::
back end engineer","q2-i3::
data scientist","q2-i4::
designer","q2-i5::
ios","q2-i6::
andriod","q2-other::
other role","q3-i10::
game dev","q3-i1::
web app dev","q3-i2::
mobile app dev","q3-i3::
data mining","q3-i4::
machine intel","q3-i5::
computer networks","q3-i6::
algorithm design","q3-i7::
vr/ar","q3-i8::
hardware","q3-i9::
IoT","q3-other::
other experience","q4-i10::
scala","q4-i1::
html","q4-i2::
js","q4-i3::
java","q4-i4::
c++","q4-i5::
python","q4-i6::
ruby","q4-i7::
c#","q4-i8::
sql","q4-i9::
swift","q4-other::
other languages","q5-i1::
communication skills","q5-i2::
design skills","q5-i3::
presentation skills","q5-i4::
project management skills","q6-i1::
have fun","q6-i2::
learn tech","q6-i3::
win","q6-i4::
socialize","q7-i1::
great code","q7-i2::
great concept","q7-i3::
great design","q7-i4::
great presentation","team join::
if want to join a team","team::
if have team","teammates::
if looking for teammate",uid
0,,Test please ignore,test please ignore,,,Test Please ignore,test please ignore,,,,Some experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59cbeb8626f0a206c2697897
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,3,3,3,4,4,4,5,5,4,5,3,3,,,,59cde708ca869411de5a75c4
2,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,Sports,,Finance,,,Travel,Entertainment,Music,,,Gaming,,,,,Designer,,,,,,,,,,,,,,,,Some experience,Some experience,,,Some experience,Some experience,,,,,5,3,4,4,5,5,3,5,4,5,5,5,true,false,,59ce5da5ca869411de5a75cd
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,,,,,,,,,,,,,,,,,,No experience,,,,,,Some experience,,Completed one project/course,,Completed one project/course,,,,,,,,,,2,3,,,,,,,,true,false,59cecbe7ca869411de5a75de
4,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,Finance,,,Travel,,Music,,,Gaming,,,Back-end Engineer,,,,,,,Some experience,,,,Some experience,Completed one project/course,,Some experience,,,,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Some experience,Completed one project/course,,,Some experience,,,3,3,2,2,5,5,,5,3,4,3,3,,,,59cee716ca869411de5a75e2
5,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Some experience,Some experience,,,,,,3,,3,2,4,4,2,3,3,4,4,2,,false,,59cef8aaca869411de5a75ea
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,Music,,,Gaming,,Front-end Engineer,,,,,,,,,,,,,,,,,,,,,Some experience,Some experience,,,,,,,5,3,4,4,3,4,2,3,4,4,3,4,true,false,,59cefa09ca869411de5a75f3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,,,,,,,,,Some experience,,Some experience,,,,,,,,3,2,4,3,3,5,4,5,4,5,4,5,,,,59cefd67ca869411de5a75fe
8,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,Health,Travel,Entertainment,Music,,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed one project/course,,,,,Some experience,,,,,,Completed multiple projects/courses,Completed one project/course,Some experience,No experience,Completed one project/course,,,,,,3,2,2,2,5,5,5,5,4,5,4,4,true,false,,59cefdf0ca869411de5a7602
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,,,,,3,3,3,4,4,4,2,4,3,5,4,3,,,,59cf055dca869411de5a7616
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politics,,Travel,,,,Social Issues,Gaming,,,,,,,,I have no idea. I'm not good at any particular thing. Speaker/Presenter maybe? Or I'll just be there for moral support.,,,,,,,,Some experience,,,,,,Some experience,,,Some experience,,,,,,2,3,3,4,4,2,,2,,5,4,3,true,false,,59cf05a0ca869411de5a7617
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,Politics,Health,,,,Economics,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed multiple projects/courses,,,,,,,,,,,Some experience,Some experience,,,Some experience,Completed multiple projects/courses,,Some experience,,,4,1,3,3,3,4,2,5,3,4,2,4,true,false,,59cf07c3ca869411de5a761d
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Scientist,Designer,,,Business,,,,Completed one project/course,,,,,,Completed one project/course,,,,,,,,,,,,,4,4,5,5,5,4,3,5,,4,4,4,true,false,,59cf0915ca869411de5a7620
13,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,Entertainment,Music,,,Gaming,,,Back-end Engineer,Data Scientist,Designer,,,,Some experience,Some experience,,Some experience,,Some experience,Completed one project/course,,,,,,,,Completed multiple projects/courses,Completed one project/course,,,Completed one project/course,,,,4,4,3,3,4,5,3,4,,,,,false,false,,59cf0c54ca869411de5a7626
14,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,Economics,,Gaming,,,Back-end Engineer,Data Scientist,,,Android,,,Some experience,Some experience,Completed one project/course,,Some experience,Completed one project/course,,,,,,,,Completed multiple projects/courses,,Completed multiple projects/courses,,,Completed one project/course,,,4,2,2,4,5,4,2,5,4,5,3,3,true,false,,59cf10f9ca869411de5a762c
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,,,,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,No experience,Completed multiple projects/courses,,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,No experience,Completed one project/course,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,Completed multiple projects/courses,,,Some experience,,,5,4,3,3,5,5,1,5,5,5,4,4,true,false,,59cf14b9ca869411de5a7633
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Travel,,,,Social Issues,Gaming,Research,,Back-end Engineer,,,,Android,,,No experience,Completed one project/course,No experience,,,Completed one project/course,,Completed multiple projects/courses,No experience,,,,,Completed one project/course,Completed one project/course,Completed one project/course,,,,,,3,3,3,3,5,5,5,5,5,5,5,5,true,false,,59cf1e6eca869411de5a763d
17,,,,,,,,,,,,2,Team Snorlax,TBA,just the web! :),,Back-end Engineer,Data Scientist,,,,none!,"One team member is experienced in web dev but not backend, and the other is a beginner with experience in animation.",59d034fac8bca053d261c476,,,Arts,,,,,Entertainment,,Economics,,Gaming,Education,Front-end Engineer,,,Designer,,,,Some experience,Completed multiple projects/courses,,,,,,Some experience,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Some experience,,,No experience,,,,4,4,4,3,5,5,5,5,4,4,4,4,true,true,true,59cf29e1ca869411de5a7644
18,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,,,,,Gaming,,,Back-end Engineer,,,,,,,Completed multiple projects/courses,,,,,Some experience,Some experience,,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,,Completed one project/course,Completed one project/course,,,4,3,3,3,4,4,4,4,3,4,3,4,,true,false,59cf3b35ca869411de5a7649
19,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,Entertainment,Music,Economics,,Gaming,,,,,,,,Unsure,,,,,,,,,,,,,Some experience,,Completed one project/course,,,,,,,,3,3,2,4,4,4,2,,4,5,4,3,,false,,59cf405cca869411de5a764a
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,,,,Completed multiple projects/courses,,,,,,Some experience,,,,,,,,Completed multiple projects/courses,Some experience,Some experience,,Some experience,,,,4,3,3,3,5,5,2,3,3,4,3,3,,true,false,59cf45c9ca869411de5a764b
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,iOS,Android,,,,,,,,Some experience,,Some experience,,,,,,,Completed one project/course,Completed one project/course,,,,,,4,4,4,3,5,5,,5,5,5,5,4,true,false,,59cf4709ca869411de5a764c
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,Social Issues,,Blockchain,Front-end Engineer,,Data Scientist,,,,,,,,Completed one project/course,Some experience,,,,Some experience,,,,Completed multiple projects/courses,Completed one project/course,,,Some experience,,,,,,5,4,5,5,5,4,5,5,4,4,3,3,true,false,,59cfb64fca869411de5a7657
23,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,Finance,,Health,Travel,Entertainment,Music,Economics,Social Issues,,,Front-end Engineer,,,,,,,,Completed one project/course,,,,,,,,,,,Completed one project/course,,,,,,,,,,3,2,2,4,5,5,3,5,4,4,4,4,true,false,,59cfc028ca869411de5a765d
24,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,Sports,Arts,,,,Travel,Entertainment,Music,Economics,Social Issues,Gaming,,,,Data Scientist,,,,,,Some experience,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,,Completed multiple projects/courses,Completed multiple projects/courses,,,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed one project/course,,R,2,4,3,4,4,5,3,4,3,4,4,4,,false,,59cfd239ca869411de5a7664
25,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,Music,,,,,,,Data Scientist,,,,,,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,Some experience,Completed one project/course,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,,,Completed multiple projects/courses,,,4,3,3,3,4,4,3,4,3,4,4,3,true,false,,59cfd7f5ca869411de5a7667
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,,,,,,Back-end Engineer,Data Scientist,,,,,,Some experience,Some experience,Some experience,Some experience,,Completed one project/course,,,,,,Some experience,Completed one project/course,Some experience,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,,,5,4,4,4,5,4,5,5,4,5,4,3,true,false,,59cfd8f6ca869411de5a7669
27,,,,,,,,,,,,2,None yet,,,,,,,,,,,,,Sports,Arts,,,Health,Travel,Entertainment,Music,,Social Issues,Gaming,,,Back-end Engineer,,Designer,,,,,Completed multiple projects/courses,,Some experience,Some experience,,Completed one project/course,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,,,Completed multiple projects/courses,,,5,4,5,4,3,5,5,4,5,5,5,5,,true,true,59cfdb27ca869411de5a766c
28,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,Music,,,Gaming,,,,,Designer,,,,Some experience,,,,Some experience,Some experience,Some experience,,Some experience,Some experience,,,,No experience,Completed one project/course,Completed one project/course,Some experience,,,,,,4,3,3,3,5,5,2,,4,5,4,4,,true,false,59cfeda9c8bca053d261c437
29,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,,,Entertainment,,,,Gaming,,Front-end Engineer,,,,,,,Completed one project/course,Some experience,,Some experience,,,Some experience,,Completed one project/course,,,,,No experience,Completed multiple projects/courses,Completed one project/course,,,Some experience,,,Matlab - 1 project/course,5,3,4,3,5,5,2,4,2,4,3,3,,true,false,59cffffbc8bca053d261c442
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,Music,,,Gaming,,,Back-end Engineer,,,,,,,,Some experience,,Some experience,Some experience,No experience,,,,,,No experience,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,,,Some experience,,3,2,2,2,4,5,,4,5,4,4,4,true,false,,59d00b9bc8bca053d261c447
31,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,Politics,,Travel,,,,Social Issues,,,,,,Designer,,,,,Some experience,,,,,Some experience,,,,,,Some experience,,Completed one project/course,,Completed multiple projects/courses,,,,,,4,3,4,4,5,5,3,4,4,5,5,4,true,false,,59d00bdec8bca053d261c449
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,,,,,,,,No experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59d00e38c8bca053d261c452
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaming,,Front-end Engineer,,,,,,,,Some experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59d00eadc8bca053d261c453
34,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,,Travel,,Music,Economics,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,,,Some experience,,,,,,,,,,,Some experience,Some experience,Completed one project/course,Completed one project/course,Completed one project/course,,,,,,5,3,4,5,4,5,,3,4,4,4,3,,true,,59d0219ac8bca053d261c468
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politics,,,,,,Social Issues,Gaming,,,,Data Scientist,,,,,,Some experience,,Some experience,Some experience,,,,,,,,Completed one project/course,,Some experience,,Completed multiple projects/courses,,,Some experience,,,5,3,4,3,4,5,3,4,4,4,3,2,true,false,,59d02bfcc8bca053d261c46e
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,Some experience,Completed one project/course,Completed one project/course,No experience,Completed one project/course,No experience,,,,,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,No experience,Completed one project/course,Completed one project/course,,,3,3,3,3,5,4,1,4,4,4,4,4,true,false,,59d02c52c8bca053d261c46f
37,,,,,,,,,,,,,Team Snorlax,tba,tba,,Back-end Engineer,,,,,,"Of the two, one is experienced in web dev but not web dev, the other is a beginner with some knowledge in design and animation",59cf29e1ca869411de5a7644,,,Arts,,,,,Entertainment,Music,,,Gaming,,Front-end Engineer,,,Designer,,,Design,,,No experience,,,,,,,,,,Some experience,Some experience,,No experience,,,,,,,4,4,4,4,4,5,3,3,4,4,5,4,,true,true,59d034fac8bca053d261c476
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,No experience,Some experience,,,,,,,,,,Some experience,Some experience,Completed one project/course,,Completed one project/course,,Some experience,,,,4,3,2,3,3,5,2,3,5,4,3,4,,,,59d03921c8bca053d261c479
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,,Gaming,,,Back-end Engineer,,,,Android,,Some experience,Some experience,Some experience,,Some experience,,Some experience,Some experience,,,,,,,Completed one project/course,,Some experience,,,,,,3,3,3,3,4,5,4,4,3,5,4,3,true,false,,59d03f9ac8bca053d261c47d
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,,,,,Back-end Engineer,Data Scientist,Designer,,,,,,,,,,,,,,,,,,Some experience,,Completed multiple projects/courses,,,,,,4,3,4,4,4,5,2,4,2,5,4,,true,false,,59d0484cc8bca053d261c482
41,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,iOS,,,,Completed one project/course,Completed one project/course,,,,Completed one project/course,Some experience,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,,Completed one project/course,,5,2,5,5,5,5,5,5,5,5,5,5,,true,false,59d04c96c8bca053d261c483
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,Music,,Social Issues,Gaming,,,,,,,,Whatever role needs to be filled.,,,,,,,Completed one project/course,,Some experience,,,,,,Completed one project/course,No experience,Completed one project/course,,,,,,3,3,3,3,5,5,3,4,5,4,4,3,true,false,,59d0550ec8bca053d261c487
43,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,,,,,Some experience,,Completed one project/course,Completed one project/course,,,Some experience,,,,Some experience,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,,Some experience,,,5,4,4,4,5,5,3,3,3,4,5,3,,false,,59d0569ac8bca053d261c489
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,,,Completed multiple projects/courses,,,,,,Some experience,,Some experience,Completed one project/course,Completed multiple projects/courses,,Completed one project/course,Some experience,,,4,3,5,2,5,5,5,5,4,5,3,5,,,,59d0581cc8bca053d261c48b
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,,,,,,Back-end Engineer,,,,,Hardware,,Some experience,,,,Completed one project/course,,Some experience,Completed multiple projects/courses,Completed one project/course,,,Some experience,Some experience,Some experience,Completed multiple projects/courses,Completed one project/course,,,,,,3,4,5,4,5,3,,4,3,3,5,4,true,false,,59d0f826c8bca053d261c49c
46,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,,,Economics,,Gaming,,Front-end Engineer,,,,,Android,,Some experience,Some experience,Completed multiple projects/courses,,,,Completed multiple projects/courses,,,Completed one project/course,,,Completed one project/course,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,Some experience,,,4,5,4,4,4,4,5,4,4,5,5,4,,true,false,59d0fb88c8bca053d261c49d
47,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,,,,,,,,Some experience,,,,,,,,,,,Some experience,Some experience,Completed one project/course,,Completed one project/course,,,Some experience,,,4,3,4,4,5,5,3,3,4,4,4,3,true,false,,59d11ba3c8bca053d261c4a9
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,Entertainment,,Economics,Social Issues,,,,Back-end Engineer,Data Scientist,,,,,,,,Some experience,Completed multiple projects/courses,,,,Completed multiple projects/courses,,,,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,,,MATLAB,5,4,4,4,5,5,3,5,4,5,5,3,true,false,,59d11e2dc8bca053d261c4aa
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anything psychology related,Front-end Engineer,,,Designer,,Android,,Completed multiple projects/courses,Completed one project/course,Completed one project/course,,Some experience,Completed one project/course,Completed one project/course,,Completed one project/course,,,,Some experience,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed one project/course,Completed multiple projects/courses,,,,,4,,,5,3,5,,4,5,4,,,true,false,59d12814c8bca053d261c4ab
50,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,Music,Economics,Social Issues,,,Front-end Engineer,,,,,Android,,,,,,,,,,,,,,Some experience,,Some experience,,Some experience,,,,,,5,3,3,4,3,5,2,3,4,4,3,3,true,false,,59d130f5c8bca053d261c4ae
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Travel,Entertainment,Music,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,,,,Android,,Some experience,Completed one project/course,Completed multiple projects/courses,,,,Some experience,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,Completed multiple projects/courses,,,Some experience,,,5,4,4,4,4,4,4,4,4,4,4,4,true,false,,59d13b4ec8bca053d261c4af
