,cr1-cr-other,cr2-cr-other,cr3-cr-other,cr3-i1,cr3-i2,cr3-i3,cr3-i6,cr4-cr-other,cr5-cr-other,cr5-i1,cr5-i4,cr5-i5,cr5-i7,cr5-i9,cr6-i1,"ft1-ft-other::
# of people wanted","ft2-ft-other::
name of team","ft3-ft-other::
team project focus","ft4-ft-other::
team project technology","ft5-i1::
front end wanted","ft5-i2::
back end wanted","ft5-i3::
data scientist wanted","ft5-i4::
designer wanted","ft5-i5::
ios person wanted","ft5-i6::
other roles wanted","ft5-i7::
web dev wanted","ft6-ft-other::
team project experience","ft7-ft-other::
team emails",other interest: ai,other interest: educ,other interest: technolog,other languages: matlab,"q1-i10::
fashion","q1-i11::
sports","q1-i12::
arts","q1-i1::
finance","q1-i2::
politics","q1-i3::
health","q1-i4::
travel","q1-i5::
entertainment","q1-i6::
music","q1-i7::
economics","q1-i8::
social issues","q1-i9::
gaming","q1-other::
other interest","q2-i1::
front end engineer","q2-i2::
back end engineer","q2-i3::
data scientist","q2-i4::
designer","q2-i5::
ios","q2-i6::
andriod","q2-other::
other role","q3-i10::
game dev","q3-i1::
web app dev","q3-i2::
mobile app dev","q3-i3::
data mining","q3-i4::
machine intel","q3-i5::
computer networks","q3-i6::
algorithm design","q3-i7::
vr/ar","q3-i8::
hardware","q3-i9::
IoT","q3-other::
other experience","q4-i10::
scala","q4-i1::
html","q4-i2::
js","q4-i3::
java","q4-i4::
c++","q4-i5::
python","q4-i6::
ruby","q4-i7::
c#","q4-i8::
sql","q4-i9::
swift","q4-other::
other languages","q5-i1::
communication skills","q5-i2::
design skills","q5-i3::
presentation skills","q5-i4::
project management skills","q6-i1::
have fun","q6-i2::
learn tech","q6-i3::
win","q6-i4::
socialize","q7-i1::
great code","q7-i2::
great concept","q7-i3::
great design","q7-i4::
great presentation","team join::
if want to join a team","team::
if have team","teammates::
if looking for teammate",uid
0,,Test please ignore,test please ignore,,,,,Test Please ignore,test please ignore,,,,,,Some experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59cbeb8626f0a206c2697897
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Some experience,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,3,3,3,4,4,4,5,5,4,5,3,3,,,,59cde708ca869411de5a75c4
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,,Gaming,Machine Learning,,,,Designer,,,,,,,,,,,,,,,,Some experience,,,,Some experience,,,,,,5,2,3,3,5,5,,5,3,4,4,4,true,false,,59ce4a5fca869411de5a75ca
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,Sports,,Finance,,,Travel,Entertainment,Music,,,Gaming,,,,,Designer,,,,,,,,,,,,,,,,Some experience,Some experience,,,Some experience,Some experience,,,,,5,3,4,4,5,5,3,5,4,5,5,5,true,false,,59ce5da5ca869411de5a75cd
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Music,,,,,,,,,,,,,,,,,,No experience,,,,,,Some experience,,Completed one project/course,,Completed one project/course,,,,,,,,,,2,3,,,,,,,,true,false,59cecbe7ca869411de5a75de
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,Finance,,,Travel,,Music,,,Gaming,,,Back-end Engineer,,,,,,,Some experience,,,,Some experience,Completed one project/course,,Some experience,,,,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,Some experience,Completed one project/course,,,Some experience,,,3,3,2,2,5,5,,5,3,4,3,3,,,,59cee716ca869411de5a75e2
6,,,,,,,,,,,,,,,,2,Yello,Geophysics: earthquake search & seismic data visulization,"python, Generic Mapping Tool, earthquake, antelope",Front-end Engineer,,Data Scientist,,iOS,,none,this is our first Hackathon,59e54cd03b62e811697f4c35,,,,,,Sports,,,,Health,Travel,Entertainment,Music,,,,,,Back-end Engineer,,Designer,,,,,No experience,,Some experience,,,Some experience,,,,,,,,Completed one project/course,Some experience,Some experience,,,,,,3,3,3,2,5,4,2,3,2,5,3,3,,true,true,59cef8aaca869411de5a75ea
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,Politics,,,Entertainment,Music,,,Gaming,,Front-end Engineer,Back-end Engineer,,,,,,,,,,,,,,,,,,,,Some experience,Completed one project/course,,,,,,,5,3,4,4,3,4,2,3,4,4,3,4,true,false,,59cefa09ca869411de5a75f3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,Some experience,,,,,,,,,Some experience,,Some experience,,,,,,,,3,2,4,3,3,5,4,5,4,5,4,5,,,,59cefd67ca869411de5a75fe
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,59cefdefca869411de5a7601
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,Health,Travel,Entertainment,Music,,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed one project/course,,,,,Some experience,,,,,,Completed multiple projects/courses,Completed one project/course,Some experience,No experience,Completed one project/course,,,,,,3,2,2,2,5,5,5,5,4,5,4,4,true,false,,59cefdf0ca869411de5a7602
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,,,,,,3,3,3,4,4,4,2,4,3,5,4,3,,,,59cf055dca869411de5a7616
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politics,,Travel,,,,Social Issues,Gaming,,,,,,,,I have no idea. I'm not good at any particular thing. Speaker/Presenter maybe? Or I'll just be there for moral support.,,,,,,,,Some experience,,,,,,Some experience,,,Some experience,,,,,,2,3,3,4,4,2,,2,,5,4,3,true,false,,59cf05a0ca869411de5a7617
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,,,Economics,Social Issues,Gaming,,,,,Designer,,,,Some experience,,,Some experience,,,Some experience,,,,,,,,,,Completed multiple projects/courses,,,,,,5,4,5,4,3,5,2,4,3,4,5,4,true,false,,59cf0774ca869411de5a761b
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,Politics,Health,,,,Economics,Social Issues,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed multiple projects/courses,,,,,,,,,,,Some experience,Some experience,,,Some experience,Completed multiple projects/courses,,Some experience,,,4,1,3,3,3,4,2,5,3,4,2,4,true,false,,59cf07c3ca869411de5a761d
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Scientist,Designer,,,Business,,,,Completed one project/course,,,,,,Completed one project/course,,,,,,,,,,,,,4,4,5,5,5,4,3,5,,4,4,4,true,false,,59cf0915ca869411de5a7620
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,,Arts,,,,,Entertainment,Music,,,Gaming,,,Back-end Engineer,Data Scientist,Designer,,,,Some experience,Some experience,,Some experience,,Some experience,Completed one project/course,,,,,,,,Completed multiple projects/courses,Completed one project/course,,,Completed one project/course,,,,4,4,3,3,4,5,3,4,,,,,false,false,,59cf0c54ca869411de5a7626
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,Music,Economics,,Gaming,Computers,Front-end Engineer,Back-end Engineer,,,iOS,,,Some experience,Some experience,Some experience,Some experience,Completed one project/course,Completed one project/course,Completed one project/course,,,Completed one project/course,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Some experience,Completed multiple projects/courses,,,,Completed one project/course,,5,3,4,3,5,5,3,5,5,5,5,5,true,false,,59cf0ea8ca869411de5a762a
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,Economics,,Gaming,,,Back-end Engineer,Data Scientist,,,Android,,,Some experience,Some experience,Completed one project/course,,Some experience,Completed one project/course,,,,,,,,Completed multiple projects/courses,,Completed multiple projects/courses,,,Completed one project/course,,,4,2,2,4,5,4,2,5,4,5,3,3,true,false,,59cf10f9ca869411de5a762c
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,Health,,,,,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,No experience,Completed multiple projects/courses,,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,No experience,Completed one project/course,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,Completed multiple projects/courses,,,Some experience,,,5,4,3,3,5,5,1,5,5,5,4,4,true,false,,59cf14b9ca869411de5a7633
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Travel,Entertainment,Music,Economics,Social Issues,Gaming,ML/AI,,Back-end Engineer,,,,,,,Some experience,Completed one project/course,No experience,Some experience,,Some experience,,Completed one project/course,Completed one project/course,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,,,Completed one project/course,,5,5,5,5,5,5,5,5,4,5,4,3,true,false,,59cf14f1ca869411de5a7634
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,Travel,,,,Social Issues,Gaming,Research,,Back-end Engineer,,,,Android,,,No experience,Completed one project/course,No experience,,,Completed one project/course,,Completed multiple projects/courses,No experience,,,,,Completed one project/course,Completed one project/course,Completed one project/course,,,,,,3,3,3,3,5,5,5,5,5,5,5,5,true,false,,59cf1e6eca869411de5a763d
22,,,,,,,,,,,,,,,,2,Team Snorlax,TBA,just the web! :),,Back-end Engineer,Data Scientist,,,,none!,"One team member is experienced in web dev but not backend, and the other is a beginner with experience in animation.",59d034fac8bca053d261c476,,,,,,,Arts,,,,,Entertainment,,Economics,,Gaming,Education,Front-end Engineer,,,Designer,,,,Some experience,Completed multiple projects/courses,,,,,,Some experience,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Some experience,,,No experience,,,,4,4,4,3,5,5,5,5,4,4,4,4,true,true,true,59cf29e1ca869411de5a7644
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,Health,,,,,,Gaming,,,Back-end Engineer,,,,,,,Completed multiple projects/courses,,,,,Some experience,Some experience,,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,,Completed one project/course,Completed one project/course,,,4,3,3,3,4,4,4,4,3,4,3,4,,true,false,59cf3b35ca869411de5a7649
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,Entertainment,Music,Economics,,Gaming,,,,,,,,Unsure,,,,,,,,,,,,,Some experience,,Completed one project/course,,,,,,,,3,3,2,4,4,4,2,,4,5,4,3,,false,,59cf405cca869411de5a764a
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,,,,Completed multiple projects/courses,,,,,,Some experience,,,,,,,,Completed multiple projects/courses,Some experience,Some experience,,Some experience,,,,4,3,3,3,5,5,2,3,3,4,3,3,,true,false,59cf45c9ca869411de5a764b
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,,,,Gaming,,Front-end Engineer,Back-end Engineer,,Designer,iOS,Android,,,,,,,,Some experience,,Some experience,,,,,,,Completed one project/course,Completed one project/course,,,,,,4,4,4,3,5,5,,5,5,5,5,4,true,false,,59cf4709ca869411de5a764c
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,Economics,Social Issues,,Blockchain,Front-end Engineer,,Data Scientist,,,,,,,,Completed one project/course,Some experience,,,,Some experience,,,,Completed multiple projects/courses,Completed one project/course,,,Some experience,,,,,,5,4,5,5,5,4,5,5,4,4,3,3,true,false,,59cfb64fca869411de5a7657
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,,,,Entertainment,Music,,,,,,,,Designer,,,,,,,,,,Some experience,,,,,,,No experience,Some experience,,Some experience,,,,,,3,3,3,3,3,4,,,3,3,3,2,,false,,59cfb92bca869411de5a7658
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,Finance,,Health,Travel,Entertainment,Music,Economics,Social Issues,,,Front-end Engineer,,,,,,,,Completed one project/course,,,,,,,,,,,Completed one project/course,,,,,,,,,,3,2,2,4,5,5,3,5,4,4,4,4,true,false,,59cfc028ca869411de5a765d
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,Sports,Arts,,,,Travel,Entertainment,Music,Economics,Social Issues,Gaming,,,,Data Scientist,,,,,,Some experience,Completed one project/course,Completed multiple projects/courses,Completed one project/course,Some experience,Some experience,,Completed multiple projects/courses,Completed multiple projects/courses,,,Some experience,,,Completed multiple projects/courses,Completed multiple projects/courses,,,Completed one project/course,,R,2,4,3,4,4,5,3,4,3,4,4,4,,false,,59cfd239ca869411de5a7664
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,Music,,,,,,,Data Scientist,,,,,,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,Some experience,Completed one project/course,,,,,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,Some experience,,,Completed multiple projects/courses,,,4,3,3,3,4,4,3,4,3,4,4,3,true,false,,59cfd7f5ca869411de5a7667
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,,,,,,,,,,,Back-end Engineer,Data Scientist,,,,,,Some experience,Some experience,Some experience,Some experience,,Completed one project/course,,,,,,Some experience,Completed one project/course,Some experience,Some experience,Completed multiple projects/courses,,,Completed multiple projects/courses,,,5,4,4,4,5,4,5,5,4,5,4,3,true,false,,59cfd8f6ca869411de5a7669
33,,,,,,,,,,,,,,,,2,None yet,,,,,,,,,,,,,,,,,Sports,Arts,,,Health,Travel,Entertainment,Music,,Social Issues,Gaming,,,Back-end Engineer,,Designer,,,,,Completed multiple projects/courses,,Some experience,Some experience,,Completed one project/course,,,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,,Completed one project/course,,,Completed multiple projects/courses,,,5,4,5,4,3,5,5,4,5,5,5,5,,true,true,59cfdb27ca869411de5a766c
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Completed one project/course,Completed multiple projects/courses,Completed multiple projects/courses,,,Some experience,Completed one project/course,,Some experience,,,,Completed multiple projects/courses,Completed multiple projects/courses,Completed multiple projects/courses,Completed one project/course,Some experience,,Some experience,Completed multiple projects/courses,Completed one project/course,,4,2,2,,5,5,2,3,5,5,4,4,,,,59cfe99cc8bca053d261c435
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,Music,,,Gaming,,,,,Designer,,,,Some experience,,,,Some experience,Some experience,Some experience,,Some experience,Some experience,,,,No experience,Completed one project/course,Completed one project/course,Some experience,,,,,,4,3,3,3,5,5,2,,4,5,4,4,,true,false,59cfeda9c8bca053d261c437
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,,,Entertainment,,,,Gaming,,Front-end Engineer,,,,,,,Completed one project/course,Some experience,,Some experience,,,Some experience,,Completed one project/course,,,,,No experience,Completed multiple projects/courses,Completed one project/course,,,Some experience,,,Matlab - 1 project/course,5,3,4,3,5,5,2,4,2,4,3,3,,true,false,59cffffbc8bca053d261c442
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel,Entertainment,Music,,,Gaming,,,Back-end Engineer,,,,,,,,Some experience,,Some experience,Some experience,No experience,,,,,,No experience,,Completed multiple projects/courses,Completed one project/course,Completed multiple projects/courses,,,,Some experience,,3,2,2,2,4,5,,4,5,4,4,4,true,false,,59d00b9bc8bca053d261c447
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,Politics,,Travel,,,,Social Issues,,,,,,Designer,,,,,Some experience,,,,,Some experience,,,,,,Some experience,,Completed one project/course,,Completed multiple projects/courses,,,,,,4,3,4,4,5,5,3,4,4,5,5,4,true,false,,59d00bdec8bca053d261c449
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entertainment,,,,Gaming,,Front-end Engineer,,,,,,,,No experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59d00e38c8bca053d261c452
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaming,,Front-end Engineer,,,,,,,,Some experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59d00eadc8bca053d261c453
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion,Sports,Arts,Finance,,Health,Travel,Entertainment,Music,Economics,Social Issues,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,iOS,,,Some experience,Completed one project/course,Some experience,Completed multiple projects/courses,No experience,,Completed one project/course,,Some experience,,,,Some experience,Completed one project/course,Completed multiple projects/courses,,Completed multiple projects/courses,,Completed one project/course,,,,3,4,2,4,5,5,2,4,5,5,5,5,,true,,59d00ed7c8bca053d261c455
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finance,Politics,Health,Travel,Entertainment,Music,Economics,Social Issues,,,Front-end Engineer,Back-end Engineer,,,iOS,Android,,,Some experience,No experience,Some experience,,,Some experience,,Some experience,,,,Some experience,Some experience,Completed one project/course,,Completed one project/course,Some experience,,Some experience,,,5,4,5,4,3,5,4,4,5,5,4,5,,true,false,59d01adcc8bca053d261c460
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front-end Engineer,Back-end Engineer,,,,,,,Completed one project/course,Some experience,,,Some experience,Completed one project/course,,,,,,Completed one project/course,Completed one project/course,Completed multiple projects/courses,,,,,Some experience,,,4,3,3,4,5,5,4,4,3,5,5,5,true,false,,59d020bac8bca053d261c467
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,,Finance,,,Travel,,Music,Economics,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,Designer,,,,,Some experience,,,,,,,,,,,Some experience,Some experience,Completed one project/course,Completed one project/course,Completed one project/course,,,,,,5,3,4,5,4,5,,3,4,4,4,3,,true,true,59d0219ac8bca053d261c468
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politics,,,,,,Social Issues,Gaming,,,,Data Scientist,,,,,,Some experience,,Some experience,Some experience,,,,,,,,Completed one project/course,,Some experience,,Completed multiple projects/courses,,,Some experience,,,5,3,4,3,4,5,3,4,4,4,3,2,true,false,,59d02bfcc8bca053d261c46e
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health,,,,,,Gaming,,Front-end Engineer,Back-end Engineer,Data Scientist,,,,,,Completed one project/course,Some experience,Completed one project/course,Completed one project/course,No experience,Completed one project/course,No experience,,,,,Completed one project/course,Completed one project/course,Completed one project/course,Some experience,Completed one project/course,No experience,Completed one project/course,Completed one project/course,,,3,3,3,3,5,4,1,4,4,4,4,4,true,false,,59d02c52c8bca053d261c46f
47,,,,,,,,,,,,,,,,,Team Snorlax,tba,tba,,Back-end Engineer,,,,,,"Of the two, one is experienced in web dev but not web dev, the other is a beginner with some knowledge in design and animation",59cf29e1ca869411de5a7644,,,,,,,Arts,,,,,Entertainment,Music,,,Gaming,,Front-end Engineer,,,Designer,,,Design,,,No experience,,,,,,,,,,Some experience,Some experience,,No experience,,,,,,,4,4,4,4,4,5,3,3,4,4,5,4,,true,true,59d034fac8bca053d261c476
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some experience,No experience,Some experience,,,,,,,,,,Some experience,Some experience,Completed one project/course,,Completed one project/course,,Some experience,,,,4,3,2,3,3,5,2,3,5,4,3,4,,,,59d03921c8bca053d261c479
