userId,questionId,question,subQuestion,responseId,response
59e3f30a3b62e811697f4c06,q1,What areas are you most interested in?,,q1-i9,Gaming
59e3f30a3b62e811697f4c06,q1,What areas are you most interested in?,,q1-i12,Arts
59cefa09ca869411de5a75f3,q1,What areas are you most interested in?,,q1-i6,Music
59cefa09ca869411de5a75f3,q1,What areas are you most interested in?,,q1-i1,Finance
59cefa09ca869411de5a75f3,q2,What role do you expect to play on the team?,,q2-i1,Front-end Engineer
59cefa09ca869411de5a75f3,q4,Rate your experience with the following languages:,Java,q4-i3,Some experience
59cefa09ca869411de5a75f3,q4,Rate your experience with the following languages:,C++,q4-i4,Completed one project/course
59cefa09ca869411de5a75f3,q5,Rate your skills (worse - better):,Communication Skills,q5-i1,5
59cefa09ca869411de5a75f3,q5,Rate your skills (worse - better):,Design Skills,q5-i2,3
59cefa09ca869411de5a75f3,q5,Rate your skills (worse - better):,Presentation Skills,q5-i3,4
59cefa09ca869411de5a75f3,q5,Rate your skills (worse - better):,Project Management Skills,q5-i4,4
59cefa09ca869411de5a75f3,q6,Why are you attending BostonHacks? (Rate),Have fun!,q6-i1,3
59cefa09ca869411de5a75f3,q6,Why are you attending BostonHacks? (Rate),Gain technical skills,q6-i2,4
59e449623b62e811697f4c12,q1,What areas are you most interested in?,,q1-i1,Finance
59cefa09ca869411de5a75f3,q6,Why are you attending BostonHacks? (Rate),Meet new people,q6-i4,3
59e449623b62e811697f4c12,q1,What areas are you most interested in?,,q1-i8,Social Issues
59cefa09ca869411de5a75f3,q6,Why are you attending BostonHacks? (Rate),Win,q6-i3,2
59e449623b62e811697f4c12,q1,What areas are you most interested in?,,q1-i3,Health
59e449623b62e811697f4c12,q1,What areas are you most interested in?,,q1-i5,Entertainment
59cefa09ca869411de5a75f3,q7,Rate how important the following is for your final project? (Rate),Great code,q7-i1,4
59e449623b62e811697f4c12,q1,What areas are you most interested in?,,q1-i4,Travel
59cefa09ca869411de5a75f3,q7,Rate how important the following is for your final project? (Rate),Great concept,q7-i2,4
59cefa09ca869411de5a75f3,q7,Rate how important the following is for your final project? (Rate),Great design,q7-i3,3
59d130f5c8bca053d261c4ae,q1,What areas are you most interested in?,,q1-i6,Music
59e449623b62e811697f4c12,q1,What areas are you most interested in?,,q1-i7,Economics
59cefa09ca869411de5a75f3,q7,Rate how important the following is for your final project? (Rate),Great presentation,q7-i4,4
59cefa09ca869411de5a75f3,q8,Do you have a team?,,team,false
59d130f5c8bca053d261c4ae,q1,What areas are you most interested in?,,q1-i7,Economics
59cefa09ca869411de5a75f3,q10,Would you like to join an existing team or project?,,join,true
59d130f5c8bca053d261c4ae,q1,What areas are you most interested in?,,q1-i11,Sports
59d130f5c8bca053d261c4ae,q1,What areas are you most interested in?,,q1-i8,Social Issues
59e449623b62e811697f4c12,q2,What role do you expect to play on the team?,,q2-i3,Data Scientist
59e449623b62e811697f4c12,q2,What role do you expect to play on the team?,,q2-i6,Android
59e449623b62e811697f4c12,q2,What role do you expect to play on the team?,,q2-i2,Back-end Engineer
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Web Application Development,q3-i1,No experience
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Mobile Application Development,q3-i2,Completed one project/course
59da68b68ac2a56ad2aaeed9,q1,What areas are you most interested in?,,q1-i1,Finance
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Data Analytics/Mining,q3-i3,Completed multiple projects/courses
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Machine Intelligence,q3-i4,Completed multiple projects/courses
59cfdb27ca869411de5a766c,q2,What role do you expect to play on the team?,,q2-i2,Back-end Engineer
59da68b68ac2a56ad2aaeed9,q2,What role do you expect to play on the team?,,q2-i1,Front-end Engineer
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Computer Networks,q3-i5,Some experience
59da68b68ac2a56ad2aaeed9,q2,What role do you expect to play on the team?,,q2-i2,Back-end Engineer
59cfdb27ca869411de5a766c,q3,Rate your experience with the following technologies:,Web Application Development,q3-i1,Completed multiple projects/courses
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Algorithm Design,q3-i6,Completed multiple projects/courses
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Virtual/Augmented Reality,q3-i7,Some experience
59cfdb27ca869411de5a766c,q3,Rate your experience with the following technologies:,Data Analytics/Mining,q3-i3,Some experience
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Hardware,q3-i8,Completed one project/course
59da68b68ac2a56ad2aaeed9,q3,Rate your experience with the following technologies:,Data Analytics/Mining,q3-i3,Some experience
59cfdb27ca869411de5a766c,q3,Rate your experience with the following technologies:,Machine Intelligence,q3-i4,Some experience
59cfdb27ca869411de5a766c,q3,Rate your experience with the following technologies:,Algorithm Design,q3-i6,Completed one project/course
59e449623b62e811697f4c12,q3,Rate your experience with the following technologies:,Internet of Things (IoT),q3-i9,Completed one project/course
59da68b68ac2a56ad2aaeed9,q3,Rate your experience with the following technologies:,Machine Intelligence,q3-i4,Some experience
59cfdb27ca869411de5a766c,q4,Rate your experience with the following languages:,HTML/CSS,q4-i1,Completed multiple projects/courses
59da68b68ac2a56ad2aaeed9,q3,Rate your experience with the following technologies:,Algorithm Design,q3-i6,Some experience
59e449623b62e811697f4c12,q4,Rate your experience with the following languages:,HTML/CSS,q4-i1,Some experience
59cfdb27ca869411de5a766c,q4,Rate your experience with the following languages:,JavaScript,q4-i2,Completed multiple projects/courses
59cfdb27ca869411de5a766c,q4,Rate your experience with the following languages:,Java,q4-i3,Completed multiple projects/courses
59e449623b62e811697f4c12,q4,Rate your experience with the following languages:,JavaScript,q4-i2,Some experience
59cfdb27ca869411de5a766c,q4,Rate your experience with the following languages:,Python,q4-i5,Completed one project/course
59e449623b62e811697f4c12,q4,Rate your experience with the following languages:,Java,q4-i3,Completed multiple projects/courses
59cfdb27ca869411de5a766c,q4,Rate your experience with the following languages:,SQL,q4-i8,Completed multiple projects/courses
59e449623b62e811697f4c12,q4,Rate your experience with the following languages:,C++,q4-i4,Completed one project/course
59da68b68ac2a56ad2aaeed9,q4,Rate your experience with the following languages:,C++,q4-i4,Completed one project/course
59e449623b62e811697f4c12,q4,Rate your experience with the following languages:,Python,q4-i5,Completed multiple projects/courses
59cfdb27ca869411de5a766c,q5,Rate your skills (worse - better):,Communication Skills,q5-i1,5
59cfdb27ca869411de5a766c,q5,Rate your skills (worse - better):,Design Skills,q5-i2,4
59e449623b62e811697f4c12,q4,Rate your experience with the following languages:,SQL,q4-i8,Completed one project/course
59da68b68ac2a56ad2aaeed9,q4,Rate your experience with the following languages:,SQL,q4-i8,Completed one project/course
59cfdb27ca869411de5a766c,q5,Rate your skills (worse - better):,Presentation Skills,q5-i3,5
59cfdb27ca869411de5a766c,q5,Rate your skills (worse - better):,Project Management Skills,q5-i4,4
59da68b68ac2a56ad2aaeed9,q5,Rate your skills (worse - better):,Communication Skills,q5-i1,4
59cfdb27ca869411de5a766c,q6,Why are you attending BostonHacks? (Rate),Gain technical skills,q6-i2,5
59cfdb27ca869411de5a766c,q6,Why are you attending BostonHacks? (Rate),Win,q6-i3,5
59da68b68ac2a56ad2aaeed9,q5,Rate your skills (worse - better):,Design Skills,q5-i2,3
59cfdb27ca869411de5a766c,q6,Why are you attending BostonHacks? (Rate),Meet new people,q6-i4,4
59da68b68ac2a56ad2aaeed9,q5,Rate your skills (worse - better):,Presentation Skills,q5-i3,2
59cfdb27ca869411de5a766c,q7,Rate how important the following is for your final project? (Rate),Great code,q7-i1,5
59da68b68ac2a56ad2aaeed9,q5,Rate your skills (worse - better):,Project Management Skills,q5-i4,3
59cfdb27ca869411de5a766c,q7,Rate how important the following is for your final project? (Rate),Great concept,q7-i2,5
59cfdb27ca869411de5a766c,q7,Rate how important the following is for your final project? (Rate),Great design,q7-i3,5
59cfdb27ca869411de5a766c,q7,Rate how important the following is for your final project? (Rate),Great presentation,q7-i4,5
59cfdb27ca869411de5a766c,q8,Do you have a team?,,team,true
59da68b68ac2a56ad2aaeed9,q6,Why are you attending BostonHacks? (Rate),Have fun!,q6-i1,2
59d816d9e91f783e0cad1a67,q8,Do you have a team?,,team,true
59da68b68ac2a56ad2aaeed9,q6,Why are you attending BostonHacks? (Rate),Gain technical skills,q6-i2,5
59cfdb27ca869411de5a766c,q9,Are you looking for more people to join your team?,,teammates,true
59d816d9e91f783e0cad1a67,q9,Are you looking for more people to join your team?,,teammates,true
59da68b68ac2a56ad2aaeed9,q6,Why are you attending BostonHacks? (Rate),Win,q6-i3,3
59e449623b62e811697f4c12,q4,Rate your experience with the following languages:,,q4-i10,Some experience
59da68b68ac2a56ad2aaeed9,q6,Why are you attending BostonHacks? (Rate),Meet new people,q6-i4,2
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i8,Social Issues
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i5,Entertainment
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i4,Travel
59e449623b62e811697f4c12,q5,Rate your skills (worse - better):,Communication Skills,q5-i1,5
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i3,Health
59da68b68ac2a56ad2aaeed9,q7,Rate how important the following is for your final project? (Rate),Great code,q7-i1,2
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i6,Music
59e449623b62e811697f4c12,q5,Rate your skills (worse - better):,Design Skills,q5-i2,4
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i12,Arts
59da68b68ac2a56ad2aaeed9,q7,Rate how important the following is for your final project? (Rate),Great concept,q7-i2,3
59da68b68ac2a56ad2aaeed9,q7,Rate how important the following is for your final project? (Rate),Great design,q7-i3,3
59e449623b62e811697f4c12,q5,Rate your skills (worse - better):,Presentation Skills,q5-i3,5
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i9,Gaming
59da68b68ac2a56ad2aaeed9,q7,Rate how important the following is for your final project? (Rate),Great presentation,q7-i4,3
59cfdb27ca869411de5a766c,q1,What areas are you most interested in?,,q1-i11,Sports
59e449623b62e811697f4c12,q5,Rate your skills (worse - better):,Project Management Skills,q5-i4,5
59da68b68ac2a56ad2aaeed9,q8,Do you have a team?,,team,false
59cfdb27ca869411de5a766c,q2,What role do you expect to play on the team?,,q2-i4,Designer
59da68b68ac2a56ad2aaeed9,q10,Would you like to join an existing team or project?,,join,true
59e449623b62e811697f4c12,q6,Why are you attending BostonHacks? (Rate),Have fun!,q6-i1,5
59e449623b62e811697f4c12,q6,Why are you attending BostonHacks? (Rate),Gain technical skills,q6-i2,5
59e449623b62e811697f4c12,q6,Why are you attending BostonHacks? (Rate),Win,q6-i3,5
59e449623b62e811697f4c12,q6,Why are you attending BostonHacks? (Rate),Meet new people,q6-i4,5
59e449623b62e811697f4c12,q7,Rate how important the following is for your final project? (Rate),Great code,q7-i1,4
59de9e6a3b62e811697f4b80,q1,What areas are you most interested in?,,q1-i4,Travel
59e449623b62e811697f4c12,q7,Rate how important the following is for your final project? (Rate),Great concept,q7-i2,5
59de9e6a3b62e811697f4b80,q1,What areas are you most interested in?,,q1-i6,Music
59e449623b62e811697f4c12,q7,Rate how important the following is for your final project? (Rate),Great design,q7-i3,5
59e449623b62e811697f4c12,q7,Rate how important the following is for your final project? (Rate),Great presentation,q7-i4,5
59de9e6a3b62e811697f4b80,q1,What areas are you most interested in?,,q1-i11,Sports
59e449623b62e811697f4c12,q8,Do you have a team?,,team,false
59de9e6a3b62e811697f4b80,q1,What areas are you most interested in?,,q1-i1,Finance
59de9e6a3b62e811697f4b80,q1,What areas are you most interested in?,,q1-i3,Health
59cfdb27ca869411de5a766c,q6,Why are you attending BostonHacks? (Rate),Have fun!,q6-i1,3
59e449623b62e811697f4c12,q10,Would you like to join an existing team or project?,,join,true
59de9e6a3b62e811697f4b80,q1,What areas are you most interested in?,,q1-i5,Entertainment
59de9e6a3b62e811697f4b80,q2,What role do you expect to play on the team?,,q2-i2,Back-end Engineer
59cfdb27ca869411de5a766c,ft1,How many more people are you looking for?,,ft1-ft-other,2
59cfdb27ca869411de5a766c,ft2,What is the name of your team?,,ft2-ft-other,None yet
59de9e6a3b62e811697f4b80,q3,Rate your experience with the following technologies:,Web Application Development,q3-i1,Completed multiple projects/courses
59de9e6a3b62e811697f4b80,q3,Rate your experience with the following technologies:,Mobile Application Development,q3-i2,Some experience
59de9e6a3b62e811697f4b80,q3,Rate your experience with the following technologies:,Data Analytics/Mining,q3-i3,Some experience
59de9e6a3b62e811697f4b80,q3,Rate your experience with the following technologies:,Algorithm Design,q3-i6,Some experience
59de9e6a3b62e811697f4b80,q3,Rate your experience with the following technologies:,Hardware,q3-i8,Some experience
59de9e6a3b62e811697f4b80,q3,Rate your experience with the following technologies:,Internet of Things (IoT),q3-i9,Some experience
59de9e6a3b62e811697f4b80,q4,Rate your experience with the following languages:,HTML/CSS,q4-i1,Completed multiple projects/courses
59de9e6a3b62e811697f4b80,q4,Rate your experience with the following languages:,JavaScript,q4-i2,Some experience
59de9e6a3b62e811697f4b80,q4,Rate your experience with the following languages:,Java,q4-i3,Some experience
59dbb82a8ac2a56ad2aaef07,q1,What areas are you most interested in?,,q1-i3,Health
59dbb82a8ac2a56ad2aaef07,q1,What areas are you most interested in?,,q1-i4,Travel
59de9e6a3b62e811697f4b80,q4,Rate your experience with the following languages:,Python,q4-i5,Completed multiple projects/courses
59dbb82a8ac2a56ad2aaef07,q1,What areas are you most interested in?,,q1-i10,Fashion
59de9e6a3b62e811697f4b80,q4,Rate your experience with the following languages:,SQL,q4-i8,Some experience
59de9e6a3b62e811697f4b80,q5,Rate your skills (worse - better):,Communication Skills,q5-i1,4
59de9e6a3b62e811697f4b80,q5,Rate your skills (worse - better):,Design Skills,q5-i2,4
59de9e6a3b62e811697f4b80,q5,Rate your skills (worse - better):,Presentation Skills,q5-i3,3
59de9e6a3b62e811697f4b80,q5,Rate your skills (worse - better):,Project Management Skills,q5-i4,2
59de9e6a3b62e811697f4b80,q6,Why are you attending BostonHacks? (Rate),Have fun!,q6-i1,5
59de9e6a3b62e811697f4b80,q6,Why are you attending BostonHacks? (Rate),Gain technical skills,q6-i2,5
59de9e6a3b62e811697f4b80,q6,Why are you attending BostonHacks? (Rate),Win,q6-i3,3
59de9e6a3b62e811697f4b80,q6,Why are you attending BostonHacks? (Rate),Meet new people,q6-i4,4
59dbb82a8ac2a56ad2aaef07,q2,What role do you expect to play on the team?,,q2-i2,Back-end Engineer
59de9e6a3b62e811697f4b80,q7,Rate how important the following is for your final project? (Rate),Great code,q7-i1,4
59de9e6a3b62e811697f4b80,q7,Rate how important the following is for your final project? (Rate),Great concept,q7-i2,5
59de9e6a3b62e811697f4b80,q7,Rate how important the following is for your final project? (Rate),Great design,q7-i3,4
59de9e6a3b62e811697f4b80,q7,Rate how important the following is for your final project? (Rate),Great presentation,q7-i4,3
59de9e6a3b62e811697f4b80,q8,Do you have a team?,,team,false
59dbb82a8ac2a56ad2aaef07,q3,Rate your experience with the following technologies:,Web Application Development,q3-i1,Some experience
59de9e6a3b62e811697f4b80,q10,Would you like to join an existing team or project?,,join,true
59dbb82a8ac2a56ad2aaef07,q3,Rate your experience with the following technologies:,Algorithm Design,q3-i6,Completed one project/course
59dbb82a8ac2a56ad2aaef07,q4,Rate your experience with the following languages:,HTML/CSS,q4-i1,Some experience
59dbb82a8ac2a56ad2aaef07,q4,Rate your experience with the following languages:,Java,q4-i3,Completed multiple projects/courses
59dbb82a8ac2a56ad2aaef07,q4,Rate your experience with the following languages:,C++,q4-i4,Completed one project/course
59d0581cc8bca053d261c48b,q3,Rate your experience with the following technologies:,Web Application Development,q3-i1,Some experience
59dbb82a8ac2a56ad2aaef07,q5,Rate your skills (worse - better):,Communication Skills,q5-i1,5
59dbb82a8ac2a56ad2aaef07,q5,Rate your skills (worse - better):,Design Skills,q5-i2,4
59d0581cc8bca053d261c48b,q3,Rate your experience with the following technologies:,Data Analytics/Mining,q3-i3,Some experience
59dbb82a8ac2a56ad2aaef07,q5,Rate your skills (worse - better):,Presentation Skills,q5-i3,5
59dbb82a8ac2a56ad2aaef07,q5,Rate your skills (worse - better):,Project Management Skills,q5-i4,3
59dbb82a8ac2a56ad2aaef07,q6,Why are you attending BostonHacks? (Rate),Have fun!,q6-i1,5
59dbb82a8ac2a56ad2aaef07,q6,Why are you attending BostonHacks? (Rate),Gain technical skills,q6-i2,5
59d0581cc8bca053d261c48b,q3,Rate your experience with the following technologies:,Algorithm Design,q3-i6,Completed multiple projects/courses
